User,Followers,Following
theomatza,"['smogsal', 'trainplant', 'akavfrvnci', 'lafos', 'jamesm253', 'jpr405', 'martysma', 'patrickmm', 'athln', 'momerfish', 'anneliseratner', 'connello', 'aveyu', 'maxgoldstein', 'saamnj', 'davidmovies123', 'treyjeff', 'jolius', 'stephphilo', 'jblock21', 'chabobobby', 'btchlen', 'sophgilb', 'lyubowatches', 'zeanet', 'anqiyu', 'noahadams', 'sapphea', 'willkulka', 'melguo', 'lttleversailles', 'dmmoore18', 'jwwarnock', 'molscotti', 'jmaren', 'chelseaeisen', 'harrisonquinno', 'amygeiger', 'gmb', 'aeren', 'yam_ekaj', 'mbloom', 'jppw95', 'benedictejensen', 'phillippyle', 'eliotkimball', 'csilvermanlloyd', 'steviemovies', 'frizzyisy', 'droliviawnophd', 'lilililicaplan', 'hjonesyfresh', 'ph03b3', 'ykg', 'team_o', 'cantdice', 'lurobinson', 'comicbookguy52', 'gatlin_murray', 'gfgarcia', 'stefanocastro7', 'oliviadecamps', 'jeffdup', 'imsrychrisj', 'slucente', 'samchill', 'keyan', 'hgoodwinpier', 'bmi', 'dustintmorris', 'jjlev', 'matt906', 'natekrieger', 'jrode1105', 'chrischennn', 'joliezhang', 'jakerogers', 'sa0806', 'alampietti', 'justinayam', 'looseygoosey', 'qtucker', 'nathancheng', 'mike_dickey', 'lzwizard', 'will_boy', 'minujun', 'geoff_minet', 'gabriel_ballard', 'kim12601', 'chasemayo', 'abel24601', 'juliafischer', 'alessandrosassi', 'akacatalina', 'cinephiles', 'arpp', 'drac_ula', 'calebhall', 'aurorajuliet', 'alicegoldberg', 'kiranewmark', 'lristov', 'thefrogmam', 'trcksbeforefood', 'megwest', 'fritzspofford', 'goodoldneon1', 'bigal2001', 'jsnyder19', 'lwgoldstein', 'mannyunger', 'emelia22', 'hyunburger', 'wjacobson124', 'litzard', 'laudragontamer', 'sherwinyu99', 'lucieplasse', 'dosofsky', 'szindi', 'anikbernstein', 'mrvpstn', 'dlvmnz', 'joelk3000', 'avidfan10', 'hanroco', 'mattgrowly', 'jhcarey', 'mshooster', 'anniening', 'uncleho', 'pchsilver96', 'audioelis', 'jcicco', 'tophatattack', 'babehoward', 'aadl_42', 'nickcatrambone', 'amirmoverman520', 'brianayeong', 'marlnbrndo', 'gusaronson', 'dsorkin', 'shawnla', 'alexsennett16']","['smogsal', 'baizluhrmann', 'trainplant', 'lafos']"
anagroaiel,[],[]
babehoward,"['gusaronson', 'arigolin', 'anniening', 'ykg', 'clarezad', 'yam_ekaj', 'looseygoosey', 'natekrieger', 'alessio_larios', 'irice', 'jjlev', 'gfgarcia', 'jakerogers', 'arpp', 'keithc12', 'tophatattack', 'jcicco', 'goodoldneon1', 'nburnham', 'ekwalsh', 'bigal2001', 'lucieplasse', 'gmb', 'helly', 'jhcarey', 'akacatalina', 'alicegoldberg', 'wjacobson124', 'theomatza', 'hjonesyfresh', 'drac_ula', 'jppw95', 'megwest', 'kim12601']",['gusaronson']
traveling12,['vocloz'],['vocloz']
aaronpartnow,"['huoaiyang', 'ryantmaguire', 'hayden_august', 'natekrieger', 'itssupershayne', 'doctor_hector', 'turquoisehex']","['huoaiyang', 'ryantmaguire', 'doctor_hector', 'natekrieger', 'hayden_august', 'itssupershayne', 'turquoisehex']"
emmadziedzic,"['natekrieger', 'itssupershayne']","['natekrieger', 'itssupershayne']"
thatgirljulien,"['julietuazon', 'tadpaul', 'rafaelgraylee']",[]
hannahberkk,"['alessandrosassi', 'broberts8']",[]
imsrychrisj,"['kevinad', 'lynnie98', 'codeduchess', 'nellbuech', 'jt1', 'lristov', 'mshooster', 'slucente', 'hjonesyfresh', 'joliezhang', 'cinephiles', 'anikbernstein', 'justinayam', 'egnnagem', 'alessio_larios', 'gabriel_ballard', 'eshabhandari', 'allisonhsu', 'jjlev', 'alampietti', 'sherwinyu99', 'morgmab', 'krittikarc', 'kiranewmark', 'kim12601', 'nathancheng', 'hbagen', 'uncleho', 'sciolino', 'keithc12', 'theomatza', 'angelica123', 'lepelstat', 'mattgrowly', '2n6', 'cu77lefish', 'laudragontamer', 'goodoldneon1', 'drac_ula', 'jcicco', 'dbachman', 'lucieplasse', 'swaxxy', 'tophatattack', 'wjacobson124', 'nsellman', 'trcksbeforefood', 'dosofsky', 'thefrogmam', 'aadl_42', 'robyntmutant', 'audioelis']","['lynnie98', 'krittikarc', 'nathancheng', 'hanroco', 'nellbuech', 'megwest', 'ronin97', 'lristov', 'mshooster']"
brightboy87,['tophatattack'],[]
